,model_name,hyperparameter_setting,mean_training_rmse,sd_training_rmse,test_rmse
0,DTR,5.0,1.1829025986697346,3.0618971534698978,1.2037169792903741
1,DTR,10.0,1.1161317067096053,2.74658770187076,1.2220134808342575
2,DTR,20.0,0.9625815673261178,2.2221448992575388,1.2608419061452465
0,knn,1.0,0.01597282713494245,0.026202277236395725,1.2791724381758467
1,knn,5.0,1.025584090589905,2.176293305729731,1.215049214474236
2,knn,10.0,1.1005673364772182,2.5539274897984323,1.1934217778490666
3,knn,15.0,1.1261377561344412,2.6995666506540035,1.1897086123491687
0,Ridge,1e-05,1.109242459924928,2.6524445284187648,1.2608419061452465
1,Ridge,0.0001,1.109242459937051,2.652445848169878,1.2608419061452465
2,Ridge,0.001,1.1092424611461713,2.65245904551909,1.2608419061452465
3,Ridge,0.01,1.1092425789973912,2.652591003868613,1.2608419061452465
4,Ridge,0.1,1.109252092227144,2.6539099496792096,1.2608419061452465
5,Ridge,1.0,1.1096985542093303,2.6670649842328515,1.2608419061452465
6,Ridge,10.0,1.12044630734625,2.7708757788547453,1.2608419061452465
7,Ridge,100.0,1.1629484911313537,3.057038206057716,1.2608419061452465
8,Ridge,1000.0,1.2045023286057157,3.273625009124705,1.2608419061452465
9,Ridge,10000.0,1.2240623855482278,3.331079097663628,1.2608419061452465
10,Ridge,100000.0,1.2363267946789722,3.348993673062837,1.2608419061452465
